#;;HD;;;Star;;V;;Sp. type;;Field 1;Field 2;Field 3;Field 4;Field 5;Field 6;Field 7;Field 8;Field 9;Field 10;;SIMBAD Type;;References
43;&;HD;25823;&;41 Tau;&;5.20;&;B9 Vp Si;&;5;;;;;;;;;;&;Variable Star of alpha2 CVn type  ;&;
44;&;HD;25940;&;48 Per;&;4.04;&;B3 Ve;&;5;20;;;;;;;;;&;Be Star                           ;&;
45;&;HD;25998;&;50 Per;&;5.51;&;F7 V;&;5;;;;;;;;;;&;Variable of RS CVn type           ;&;
46;&;HD;26322;&;44 Tau;&;5.41;&;F2 IV-V;&;5;;;;;;;;;;&;Variable Star of delta Sct type   ;&;
47;&;HD;26630;&;$\mu$ Per;&;4.14;&;G0 Ib;&;5;20;;;;;;;;;&;Spectroscopic binary              ;&;
48;&;HD;27396;&;53 Per;&;4.85;&;B4 IV;&;5;20;;;;;;;;;&;Variable Star of beta Cep type    ;&;
49;&;HD;29248;&;$\nu$ Eri;&;3.93;&;B2 III;&;6;13;22;32;40;49;;;;;&;Variable Star of beta Cep type    ;&;"Daszynska-Daszkiewicz et al. 2017; Handler et al. 2017"
50;&;HD;30211;&;$\mu$ Eri;&;4.02;&;B5 IV;&;6;13;22;32;40;49;;;;;&;Eclipsing binary                  ;&;
51;&;HD;30652;&;$\pi$3 Ori;&;3.19;&;F6 V;&;6;40;;;;;;;;;&;High proper-motion Star           ;&;
52;&;HD;30836;&;$\pi$4 Ori;&;3.69;&;B2 III + B2 IV;&;6;13;22;32;40;49;;;;;&;Spectroscopic binary              ;&;
53;&;HD;31109;&;$\omega$ Eri;&;4.39;&;F4 III + A6 III;&;6;;;;;;;;;;&;Spectroscopic binary              ;&;
54;&;HD;31139;&;5 Ori;&;5.33;&;M1 III;&;6;;;;;;;;;;&;Variable Star                     ;&;
55;&;HD;31237;&;$\pi^5$ Ori;&;3.72;&;B3 III + B0 V;&;1;6;13;22;32;40;49;;;;&;Spectroscopic binary              ;&;Jerzykiewicz et al. 2020
56;&;HD;31767;&;$\pi^6$ Ori;&;4.47;&;K2 II;&;6;;;;;;;;;;&;Variable Star                     ;&;
57;&;HD;33111;&;$\beta$ Eri;&;2.79;&;A3 III;&;1;6;32;40;48;;;;;;&;High proper-motion Star           ;&;
58;&;HD;33328;&;$\lambda$ Eri;&;4.27;&;B2 IVne;&;6;13;22;32;;;;;;;&;Be Star                           ;&;
59;&;HD;33904;&;$\mu$ Lep;&;3.31;&;B9 IIIp HgMn;&;6;;;;;;;;;;&;Variable Star of alpha2 CVn type  ;&;
60;&;HD;34085;&;$\beta$ Ori;&;0.12;&;B8 Ia;&;1;6;13;22;32;40;49;;;;&;Blue supergiant star              ;&;
61;&;HD;34503;&;$\tau$ Ori;&;3.60;&;B5 III;&;1;6;13;22;49;;;;;;&;Star                              ;&;
62;&;HD;34816;&;$\lambda$ Lep;&;4.29;&;B0.5 IV;&;6;22;;;;;;;;;&;Star                              ;&;
63;&;HD;35039;&;o Ori;&;4.74;&;B2 IV;&;6;40;49;;;;;;;;&;Spectroscopic binary              ;&;
64;&;HD;35369;&;e Ori;&;4.14;&;G8 III;&;6;;;;;;;;;;&;Star                              ;&;
65;&;HD;35411;&;$\eta$ Ori;&;3.36;&;B1V + B2;&;1;6;13;22;32;40;49;;;;&;Eclipsing binary                  ;&;
66;&;HD;35439;&;$\psi^1$ Ori;&;4.95;&;B1 Vpe;&;6;22;32;40;49;;;;;;&;Be Star                           ;&;
67;&;HD;35468;&;$\gamma$ Ori;&;1.64;&;B2 III;&;1;6;13;22;32;40;49;;;;&;Variable Star                     ;&;
68;&;HD;35715;&;$\psi^2$ Ori;&;4.59;&;B2 IV;&;1;6;22;32;40;49;;;;;&;Variable Star of beta Cep type    ;&;
69;&;HD;36267;&;32 Ori;&;4.20;&;B5 V;&;6;32;40;;;;;;;;&;Double or multiple star           ;&;
70;&;HD;36485/6;&;$\delta$ Ori;&;2.23/6.83;&;B0 III + O9 V/B2 V;&;1;6;13;22;32;40;48;49;;;&;Spectroscopic binary              ;&;
71;&;HD;36512;&;$\upsilon$ Ori;&;4.62;&;B0 V;&;6;;;;;;;;;;&;Variable Star                     ;&;
72;&;HD;36822;&;$\phi^1$ Ori;&;4.41;&;B0 III;&;6;40;;;;;;;;;&;Spectroscopic binary              ;&;
73;&;HD;36861/2;&;$\lambda$ Ori;&;3.54/5.45;&;O8 III((f))/B0.5 V;&;1;6;13;22;32;40;48;;;;&;Emission-line Star                ;&;
74;&;HD;36959/60;&;;&;5.67/4.78;&;B1 V/B0.5 V;&;6;;;;;;;;;;&;Young Stellar Object              ;&;
75;&;HD;37018;&;42 Ori;&;4.59;&;B1 V;&;6;49;;;;;;;;;&;Young Stellar Object              ;&;
76;&;HD;37022/41;&;$\theta^1$/$\theta^2$ Ori;&;5.13/5.09;&;O7 Vp/O9.5 Vp;&;6;13;;;;;;;;;&;Spectroscopic binary              ;&;
77;&;HD;37043;&;$\iota$ Ori;&;2.77;&;O9 III;&;1;6;13;22;32;49;;;;;&;Spectroscopic binary              ;&;Pablo et al. 2017
78;&;HD;37128;&;$\epsilon$ Ori;&;1.70;&;B0 Ia;&;1;6;13;22;32;40;48;49;;;&;Blue supergiant star              ;&;
79;&;HD;37468;&;$\sigma$ Ori;&;3.81;&;O9.5 V;&;1;6;13;22;32;40;49;;;;&;Young Stellar Object              ;&;
80;&;HD;37490;&;$\omega$ Ori;&;4.57;&;B3 IIIe;&;6;13;22;32;40;;;;;;&;Be Star                           ;&;
81;&;HD;37742/3;&;$\zeta$ Ori;&;1.88/3.70;&;O9.7 Ib/B0 III;&;1;6;13;22;32;40;48;49;;;&;Spectroscopic binary              ;&;Buysschaert et al. 2017
82;&;HD;38771;&;$\kappa$ Ori;&;2.06;&;B0.5 Ia;&;1;6;13;22;32;49;;;;;&;Blue supergiant star              ;&;
83;&;HD;39060;&;$\beta$ Pic;&;3.85;&;A5 V;&;8;23;33;50;;;;;;;&;High proper-motion Star           ;&;"Zwintz et al. 2019; Mol Lous et al. 2018"
84;&;HD;39801;&;$\alpha$ Ori;&;0.50;&;M1-2 Ia-Iab;&;1;6;13;22;32;40;49;;;;&;Red supergiant star               ;&;
85;&;HD;42933;&;$\delta$ Pic;&;4.81;&;O9 V + B3 III;&;8;23;33;50;;;;;;;&;Eclipsing binary                  ;&;
86;&;HD;44402;&;$\zeta$ CMa;&;3.02;&;B2.5 V;&;12;;;;;;;;;;&;Cepheid variable Star             ;&;
87;&;HD;44743;&;$\beta$ CMa;&;1.98;&;B1 II-III;&;12;;;;;;;;;;&;Variable Star of beta Cep type    ;&;
88;&;HD;45348;&;$\alpha$ Car;&;-0.72;&;F0 II;&;8;23;;;;;;;;;&;Star                              ;&;
89;&;HD;45871;&;IY CMa;&;5.74;&;B4 Vnpe;&;12;;;;;;;;;;&;Be Star                           ;&;
90;&;HD;46328;&;$\ksi^1$ CMa;&;4.33;&;B0.5 IV;&;12;;;;;;;;;;&;Variable Star of beta Cep type    ;&;Wade et al. (2020)
91;&;HD;47306;&;N Car;&;4.40;&;A0 II;&;8;23;;;;;;;;;&;Star                              ;&;
92;&;HD;47670;&;$\nu$ Pup;&;3.17;&;B8 III;&;8;23;33;41;50;;;;;;&;Cepheid variable Star             ;&;Baade et al. 2018
93;&;HD;48917;&;10 CMa;&;5.20;&;B2 IIIe;&;12;;;;;;;;;;&;Be Star                           ;&;
94;&;HD;49131;&;HP CMa;&;5.80;&;B2 III;&;12;;;;;;;;;;&;Be Star                           ;&;
95;&;HD;50013;&;$\kappa$ CMa;&;3.96;&;B1.5 IVne;&;12;41;;;;;;;;;&;Be Star                           ;&;
96;&;HD;50123;&;HZ CMa;&;5.70;&;B6 Vnpe;&;12;;;;;;;;;;&;Be Star                           ;&;
97;&;HD;50337;&;V415 Car;&;4.42;&;G6 II;&;8;23;33;;;;;;;;&;Eclipsing binary                  ;&;
98;&;HD;50707;&;15 CMa;&;4.83;&;B1 IV;&;12;;;;;;;;;;&;Variable Star of beta Cep type    ;&;
99;&;HD;50877;&;$\omicron^1$ CMa;&;3.87;&;K2 Iab;&;12;;;;;;;;;;&;Red supergiant star               ;&;
100;&;HD;50896;&;EZ CMa;&;6.91;&;WN5-B;&;12;;;;;;;;;;&;Wolf-Rayet Star                   ;&;Schmutz & Koenigsberger 2019
101;&;HD;51309;&;$\iota$ CMa;&;4.37;&;B3 II;&;12;;;;;;;;;;&;Variable Star of beta Cep type    ;&;
102;&;HD;52089;&;$\epsilon$ CMa;&;1.50;&;B2 II;&;12;41;;;;;;;;;&;Star                              ;&;
